,emp_ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0,9284,0.5,0.5,3,184,3,1,0,0,support,low
1,9937,0.68,0.81,3,180,2,1,0,0,sales,high
2,823,0.41,0.5,2,128,3,0,1,0,management,low
3,6630,0.32,0.55,4,283,4,0,0,0,product_mng,low
4,2450,0.91,0.7,3,132,4,0,0,0,sales,medium
5,7239,0.18,0.55,5,217,4,0,0,0,IT,low
6,4480,0.54,0.86,4,205,5,0,0,0,support,low
7,9354,0.73,0.55,3,149,3,0,0,0,technical,low
8,10910,0.92,0.64,4,217,4,0,0,0,RandD,medium
9,10817,0.78,0.54,3,161,3,0,0,0,support,medium
10,11391,0.49,0.6,4,264,2,1,0,0,product_mng,low
11,8027,0.92,0.74,4,213,3,0,0,0,sales,medium
12,2614,0.7,0.9,3,225,2,0,0,0,sales,low
13,8074,0.82,0.63,3,246,3,0,0,0,management,medium
14,11470,0.91,0.8,5,169,4,0,0,0,sales,low
15,992,0.76,0.91,4,219,5,0,1,0,sales,low
16,14396,0.36,0.55,2,141,3,0,1,0,hr,medium
17,2449,0.25,0.69,3,187,4,0,0,0,marketing,medium
18,10729,0.63,0.9,4,245,3,0,0,0,technical,low
19,14961,0.82,0.86,5,257,5,0,1,0,sales,low
20,1071,0.78,0.87,5,243,5,0,1,0,technical,low
21,9512,0.5,0.53,3,121,4,0,0,0,support,low
22,14144,0.82,0.84,3,194,3,0,0,0,product_mng,low
23,14126,0.74,0.7,4,273,3,0,0,0,sales,medium
24,8381,0.63,0.81,5,189,3,0,0,0,technical,medium
25,4845,0.66,0.96,4,103,2,0,0,0,technical,low
26,11429,0.64,0.55,4,215,2,0,0,0,sales,low
27,774,0.42,0.54,2,159,3,0,1,0,sales,medium
28,3658,0.78,0.91,3,238,2,0,0,0,RandD,high
29,7939,0.49,0.63,3,175,2,0,0,0,accounting,low
30,4234,0.88,0.65,4,224,2,0,0,0,hr,high
31,13665,0.74,0.71,3,206,3,0,0,0,management,high
32,659,0.38,0.53,2,146,3,0,1,0,support,low
33,11623,0.7,0.68,5,225,7,0,0,0,sales,medium
34,5536,0.95,0.81,4,238,2,0,0,0,technical,low
35,9831,0.13,0.58,4,203,4,0,0,0,technical,low
36,695,0.78,0.71,3,249,5,0,1,0,marketing,medium
37,8104,0.58,0.63,4,190,2,0,0,0,sales,medium
38,542,0.81,0.87,4,254,5,0,1,0,marketing,low
39,3220,0.65,0.51,4,157,3,1,0,0,sales,medium
40,5455,0.41,0.47,6,171,2,0,0,0,technical,low
41,11769,0.8,0.84,4,242,2,1,0,0,marketing,low
42,11766,0.92,0.64,4,190,10,1,0,0,management,low
43,8444,0.58,0.84,3,258,4,0,0,0,support,low
44,33,0.4,0.51,2,145,3,0,1,0,hr,low
45,3957,0.44,0.55,3,170,3,1,0,0,IT,low
46,3808,0.65,0.37,5,128,3,1,0,0,product_mng,medium
47,14186,0.82,0.58,5,263,8,0,0,0,IT,medium
48,2311,0.87,0.58,4,212,3,0,0,0,sales,low
49,11802,0.9,0.56,3,151,3,0,0,0,sales,medium
50,10066,0.65,0.83,5,182,2,1,0,0,IT,low
51,7781,0.31,0.59,4,138,2,0,0,0,RandD,low
52,11837,0.17,0.55,4,194,3,0,0,0,product_mng,low
53,13853,0.22,0.7,4,159,5,0,0,0,management,low
54,3958,0.54,0.91,3,151,3,0,0,0,product_mng,medium
55,9424,0.8,0.51,3,159,3,0,0,0,technical,low
56,9973,0.59,0.59,4,244,3,0,0,0,support,medium
57,4670,0.94,0.83,4,156,2,0,0,0,sales,medium
58,14129,0.92,0.85,3,151,6,1,0,0,sales,low
59,2525,0.65,0.67,5,128,5,0,0,0,marketing,medium
60,11321,0.57,0.82,4,269,2,0,0,0,technical,medium
61,14007,0.97,0.61,4,262,3,1,0,1,marketing,medium
62,1558,0.5,0.85,4,138,3,0,1,0,accounting,medium
63,1573,0.39,0.48,2,154,3,0,1,0,technical,low
64,13750,0.17,0.66,6,224,3,0,0,0,sales,medium
65,7106,0.56,0.69,3,176,3,0,0,0,management,medium
66,13295,0.65,0.63,4,143,8,0,0,0,management,medium
67,12773,0.31,0.77,4,149,3,0,1,0,sales,medium
68,13142,0.8,0.82,4,271,4,0,0,0,sales,low
69,13869,0.73,0.57,3,146,2,0,0,0,product_mng,low
70,2852,0.69,0.76,5,222,3,1,0,0,sales,low
71,7286,0.62,0.53,4,147,2,0,0,0,hr,low
72,6237,0.21,0.38,3,275,5,0,0,0,support,low
73,955,0.4,0.46,2,131,3,0,1,0,technical,low
74,1006,0.54,0.56,4,260,3,0,1,0,sales,medium
75,13148,0.78,0.6,4,143,2,0,0,1,sales,medium
76,8495,0.52,0.83,3,153,2,0,0,0,sales,medium
77,4785,0.3,0.68,3,229,6,0,0,0,support,medium
78,5373,0.55,0.6,3,145,4,0,0,0,accounting,low
79,14645,0.87,0.84,4,264,6,0,1,0,support,low
80,54,0.39,0.54,2,132,3,0,1,0,support,low
81,2484,0.94,0.78,3,184,3,1,0,0,technical,medium
82,10251,0.64,1.0,4,201,2,0,0,0,sales,medium
83,10951,0.93,0.9,4,256,4,0,0,0,technical,low
84,5249,0.49,0.76,4,202,3,0,0,0,management,low
85,7839,0.57,0.86,3,164,2,0,0,0,support,medium
86,6423,0.77,0.59,4,140,3,0,0,0,sales,medium
87,10103,0.55,0.54,3,190,3,0,0,0,sales,low
88,4316,0.59,0.93,4,146,3,0,0,0,technical,medium
89,4108,0.55,0.8,3,254,2,0,0,0,IT,medium
90,1571,0.4,0.48,2,139,3,0,1,0,technical,low
91,1863,0.1,0.9,7,269,4,0,1,0,accounting,medium
92,533,0.1,0.84,6,246,4,0,1,0,hr,medium
93,1512,0.4,0.46,2,156,3,0,1,0,management,medium
94,9160,0.75,0.64,3,195,3,0,0,0,sales,high
95,3662,0.78,0.79,5,233,3,1,0,0,RandD,high
96,14991,0.89,0.88,5,228,5,1,1,0,support,low
97,3038,0.6,0.64,5,221,2,0,0,0,technical,low
98,5881,0.76,0.89,5,204,3,0,0,0,accounting,low
99,7034,0.68,0.61,3,134,4,0,0,0,sales,medium
100,2878,0.51,0.65,4,269,3,0,0,0,support,medium
101,7023,0.85,0.99,3,201,3,0,0,0,RandD,medium
102,13586,0.98,0.89,4,218,2,0,0,0,sales,medium
103,10296,0.67,0.74,3,226,3,0,0,0,product_mng,low
104,8958,0.43,0.82,2,221,5,0,0,0,sales,medium
105,10148,0.55,0.55,5,256,3,0,0,0,RandD,medium
106,1021,0.74,0.87,5,258,5,0,1,0,accounting,low
107,4860,0.92,0.49,5,259,3,1,0,0,support,medium
108,6182,0.58,0.79,5,197,3,0,0,0,RandD,medium
109,10401,0.83,0.53,3,186,4,0,0,0,sales,medium
110,4263,0.76,0.56,3,154,2,0,0,0,IT,low
111,9886,0.65,0.63,4,199,2,0,0,0,technical,medium
112,12314,0.41,0.49,2,130,3,0,1,0,marketing,low
113,5059,0.67,1.0,4,145,3,1,0,1,sales,medium
114,7595,0.62,0.58,3,148,2,1,0,0,technical,low
115,7014,0.63,0.67,5,250,2,0,0,0,product_mng,low
116,1450,0.41,0.5,2,149,3,0,1,0,RandD,low
117,13264,0.54,0.53,4,158,2,0,0,0,technical,medium
118,9292,0.57,0.65,4,265,3,0,0,0,technical,low
119,7695,0.72,0.76,3,261,4,0,0,0,IT,medium
120,13822,0.89,0.86,4,153,3,0,0,0,accounting,low
121,604,0.83,0.9,5,245,5,0,1,0,product_mng,low
122,9128,0.76,0.6,5,244,3,1,0,0,technical,low
123,1619,0.88,0.89,4,254,5,0,1,0,sales,low
124,14672,0.43,0.49,2,135,3,0,1,0,accounting,medium
125,2368,0.64,0.54,3,166,2,0,0,0,support,medium
126,7594,0.64,0.56,3,239,3,0,0,0,technical,low
127,5252,0.5,0.5,4,267,3,0,0,0,IT,medium
128,4492,0.18,0.99,4,204,6,0,0,0,IT,low
129,5514,0.23,0.5,5,100,3,0,0,0,sales,medium
130,470,0.41,0.52,2,159,3,0,1,0,sales,low
131,11255,0.24,0.94,6,144,4,0,0,0,product_mng,low
132,9315,0.74,0.95,5,170,4,0,0,0,technical,medium
133,10701,0.52,0.96,4,171,2,0,0,0,sales,medium
134,1284,0.4,0.55,2,150,3,0,1,0,IT,medium
135,11972,0.85,0.89,4,150,3,0,0,0,accounting,high
136,1746,0.09,0.78,6,260,4,0,1,0,IT,medium
137,2030,0.84,0.77,4,262,4,0,0,0,technical,low
138,14713,0.66,0.57,5,161,5,0,1,0,technical,high
139,8669,0.97,0.89,4,193,3,0,0,0,technical,low
140,13038,0.87,0.48,4,264,3,0,0,0,IT,medium
141,2679,0.79,0.61,5,96,4,0,0,0,marketing,medium
142,4925,0.83,0.95,3,255,3,0,0,0,technical,medium
143,9067,0.66,0.62,3,144,3,0,0,0,management,low
144,13575,0.57,0.6,2,163,3,0,0,0,sales,medium
145,412,0.84,0.99,4,262,6,0,1,0,accounting,medium
146,4571,0.66,0.9,3,217,4,0,0,0,product_mng,medium
147,11851,0.16,0.7,3,178,3,1,0,0,technical,low
148,9264,0.41,0.7,2,151,3,1,0,0,accounting,low
149,1041,0.11,0.89,6,309,4,0,1,0,support,medium
150,373,0.39,0.48,2,141,3,0,1,0,product_mng,medium
151,13370,0.69,0.55,3,172,2,0,0,0,technical,medium
152,8032,0.66,0.95,4,224,2,0,0,0,sales,medium
153,12003,0.11,0.88,7,272,4,0,1,0,sales,medium
154,11291,0.18,0.61,5,174,6,0,0,0,sales,medium
155,14926,0.11,0.95,6,279,4,0,1,0,technical,low
156,14312,0.38,0.52,2,154,3,0,1,0,sales,medium
157,7384,0.77,0.98,3,273,3,0,0,0,support,high
158,8082,0.77,0.52,4,241,3,0,0,0,product_mng,medium
159,13145,0.58,0.97,3,274,4,1,0,1,sales,medium
160,6148,0.99,0.97,5,229,2,0,0,0,technical,medium
161,14462,0.79,0.87,5,261,5,0,1,0,sales,low
162,129,0.09,0.82,6,250,4,0,1,0,support,low
